Class,Sample_ID,Year,Treatment,Season,Replicate,Count,Experiment
alphaproteobacteria,2016-LW-Veraison-C,2016,LW,Veraison,C,94,Crop Cover
alphaproteobacteria,2016-LW-Harvest-A,2016,LW,Harvest,A,88,Crop Cover
alphaproteobacteria,2016-LW-Harvest-B,2016,LW,Harvest,B,99,Crop Cover
alphaproteobacteria,2016-LW-Harvest-C,2016,LW,Harvest,C,100,Crop Cover
alphaproteobacteria,2016-NCC-Bud-A,2016,NCC,Bud,A,76,Crop Cover
alphaproteobacteria,2016-NCC-Bud-B,2016,NCC,Bud,B,59,Crop Cover
alphaproteobacteria,2016-NCC-Bud-C,2016,NCC,Bud,C,72,Crop Cover
alphaproteobacteria,2016-NCC-Bloom-A,2016,NCC,Bloom,A,47,Crop Cover
alphaproteobacteria,2016-NCC-Bloom-B,2016,NCC,Bloom,B,51,Crop Cover
alphaproteobacteria,2016-NCC-Bloom-C,2016,NCC,Bloom,C,76,Crop Cover
alphaproteobacteria,2016-NCC-Veraison-A,2016,NCC,Veraison,A,92,Crop Cover
alphaproteobacteria,2016-NCC-Veraison-B,2016,NCC,Veraison,B,99,Crop Cover
alphaproteobacteria,2016-NCC-Veraison-C,2016,NCC,Veraison,C,94,Crop Cover
alphaproteobacteria,2016-NCC-Harvest-A,2016,NCC,Harvest,A,115,Crop Cover
alphaproteobacteria,2016-NCC-Harvest-B,2016,NCC,Harvest,B,79,Crop Cover
alphaproteobacteria,2016-NCC-Harvest-C,2016,NCC,Harvest,C,98,Crop Cover
alphaproteobacteria,2016-NF-Bud-A,2016,NF,Bud,A,72,Fertilizer
alphaproteobacteria,2016-NF-Bud-B,2016,NF,Bud,B,89,Fertilizer
alphaproteobacteria,2016-NF-Bud-C,2016,NF,Bud,C,83,Fertilizer
alphaproteobacteria,2016-NF-Bloom-A,2016,NF,Bloom,A,57,Fertilizer
alphaproteobacteria,2016-NF-Bloom-B,2016,NF,Bloom,B,100,Fertilizer
alphaproteobacteria,2016-NF-Bloom-C,2016,NF,Bloom,C,54,Fertilizer
alphaproteobacteria,2016-NF-Veraison-A,2016,NF,Veraison,A,95,Fertilizer
alphaproteobacteria,2016-NF-Veraison-B,2016,NF,Veraison,B,101,Fertilizer
alphaproteobacteria,2016-NF-Veraison-C,2016,NF,Veraison,C,93,Fertilizer
alphaproteobacteria,2016-NF-Harvest-A,2016,NF,Harvest,A,101,Fertilizer
alphaproteobacteria,2016-NF-Harvest-B,2016,NF,Harvest,B,91,Fertilizer
alphaproteobacteria,2016-NF-Harvest-C,2016,NF,Harvest,C,81,Fertilizer
alphaproteobacteria,2016-NH-Bud-A,2016,NH,Bud,A,117,Herbicide
alphaproteobacteria,2016-NH-Bud-B,2016,NH,Bud,B,86,Herbicide
alphaproteobacteria,2016-NH-Bud-C,2016,NH,Bud,C,111,Herbicide
alphaproteobacteria,2016-NH-Bloom-A,2016,NH,Bloom,A,64,Herbicide
alphaproteobacteria,2016-NH-Bloom-B,2016,NH,Bloom,B,73,Herbicide
alphaproteobacteria,2016-NH-Bloom-C,2016,NH,Bloom,C,68,Herbicide
alphaproteobacteria,2016-NH-Veraison-A,2016,NH,Veraison,A,78,Herbicide
alphaproteobacteria,2016-NH-Veraison-B,2016,NH,Veraison,B,85,Herbicide
alphaproteobacteria,2016-NH-Veraison-C,2016,NH,Veraison,C,101,Herbicide
alphaproteobacteria,2016-NH-Harvest-A,2016,NH,Harvest,A,144,Herbicide
alphaproteobacteria,2016-NH-Harvest-B,2016,NH,Harvest,B,138,Herbicide
alphaproteobacteria,2016-NH-Harvest-C,2016,NH,Harvest,C,110,Herbicide
alphaproteobacteria,2016-OF-Bud-A,2016,OF,Bud,A,77,Fertilizer
alphaproteobacteria,2016-OF-Bud-B,2016,OF,Bud,B,97,Fertilizer
alphaproteobacteria,2016-OF-Bud-C,2016,OF,Bud,C,83,Fertilizer
alphaproteobacteria,2016-OF-Bloom-A,2016,OF,Bloom,A,76,Fertilizer
alphaproteobacteria,2016-OF-Bloom-B,2016,OF,Bloom,B,87,Fertilizer
alphaproteobacteria,2016-OF-Bloom-C,2016,OF,Bloom,C,66,Fertilizer
alphaproteobacteria,2016-OF-Veraison-A,2016,OF,Veraison,A,80,Fertilizer
alphaproteobacteria,2016-OF-Veraison-B,2016,OF,Veraison,B,83,Fertilizer
alphaproteobacteria,2016-OF-Veraison-C,2016,OF,Veraison,C,62,Fertilizer
alphaproteobacteria,2016-OF-Harvest-A,2016,OF,Harvest,A,113,Fertilizer
alphaproteobacteria,2016-OF-Harvest-B,2016,OF,Harvest,B,92,Fertilizer
alphaproteobacteria,2016-OF-Harvest-C,2016,OF,Harvest,C,77,Fertilizer
alphaproteobacteria,2016-SF-Bud-A,2016,SF,Bud,A,73,Fertilizer
alphaproteobacteria,2016-SF-Bud-B,2016,SF,Bud,B,90,Fertilizer
alphaproteobacteria,2016-SF-Bud-C,2016,SF,Bud,C,86,Fertilizer
alphaproteobacteria,2016-SF-Bloom-A,2016,SF,Bloom,A,73,Fertilizer
alphaproteobacteria,2016-SF-Bloom-B,2016,SF,Bloom,B,78,Fertilizer
alphaproteobacteria,2016-SF-Bloom-C,2016,SF,Bloom,C,59,Fertilizer
alphaproteobacteria,2016-SF-Veraison-A,2016,SF,Veraison,A,74,Fertilizer
alphaproteobacteria,2016-SF-Veraison-B,2016,SF,Veraison,B,113,Fertilizer
alphaproteobacteria,2016-SF-Veraison-C,2016,SF,Veraison,C,107,Fertilizer
alphaproteobacteria,2016-SF-Harvest-A,2016,SF,Harvest,A,95,Fertilizer
alphaproteobacteria,2016-SF-Harvest-B,2016,SF,Harvest,B,82,Fertilizer
alphaproteobacteria,2016-SF-Harvest-C,2016,SF,Harvest,C,101,Fertilizer
alphaproteobacteria,2017-HW-Bud-A,2017,HW,Bud,A,48,Crop Cover
alphaproteobacteria,2017-HW-Bud-B,2017,HW,Bud,B,51,Crop Cover
alphaproteobacteria,2017-HW-Bud-C,2017,HW,Bud,C,53,Crop Cover
alphaproteobacteria,2017-LW-Bud-A,2017,LW,Bud,A,34,Crop Cover
alphaproteobacteria,2017-LW-Bud-B,2017,LW,Bud,B,39,Crop Cover
alphaproteobacteria,2017-LW-Bud-C,2017,LW,Bud,C,37,Crop Cover
alphaproteobacteria,2017-NCC-Bud-A,2017,NCC,Bud,A,63,Crop Cover
alphaproteobacteria,2017-NCC-Bud-B,2017,NCC,Bud,B,43,Crop Cover
alphaproteobacteria,2017-NCC-Bud-C,2017,NCC,Bud,C,41,Crop Cover
alphaproteobacteria,2017-OF-Bud-A,2017,OF,Bud,A,39,Fertilizer
alphaproteobacteria,2017-OF-Bud-B,2017,OF,Bud,B,40,Fertilizer
alphaproteobacteria,2017-SF-Bud-A,2017,SF,Bud,A,62,Fertilizer
alphaproteobacteria,2017-SF-Bud-B,2017,SF,Bud,B,49,Fertilizer
alphaproteobacteria,2017-SF-Bud-C,2017,SF,Bud,C,84,Fertilizer
alphaproteobacteria,2017-NF-Bud-A,2017,NF,Bud,A,69,Fertilizer
alphaproteobacteria,2017-NF-Bud-B,2017,NF,Bud,B,80,Fertilizer
alphaproteobacteria,2017-NF-Bud-C,2017,NF,Bud,C,69,Fertilizer
alphaproteobacteria,2017-H-Bud-A,2017,H,Bud,A,100,Herbicide
alphaproteobacteria,2017-H-Bud-B,2017,H,Bud,B,99,Herbicide
alphaproteobacteria,2017-H-Bud-C,2017,H,Bud,C,116,Herbicide
alphaproteobacteria,2017-NH-Bud-A,2017,NH,Bud,A,159,Herbicide
alphaproteobacteria,2017-NH-Bud-B,2017,NH,Bud,B,200,Herbicide
alphaproteobacteria,2017-NH-Bud-C,2017,NH,Bud,C,243,Herbicide
alphaproteobacteria,2017-HW-Bloom-A,2017,HW,Bloom,A,117,Crop Cover
alphaproteobacteria,2017-HW-Bloom-B,2017,HW,Bloom,B,121,Crop Cover
alphaproteobacteria,2017-HW-Bloom-C,2017,HW,Bloom,C,130,Crop Cover
alphaproteobacteria,2017-LW-Bloom-A,2017,LW,Bloom,A,130,Crop Cover
alphaproteobacteria,2017-LW-Bloom-B,2017,LW,Bloom,B,174,Crop Cover
alphaproteobacteria,2017-LW-Bloom-C,2017,LW,Bloom,C,135,Crop Cover
alphaproteobacteria,2017-NCC-Bloom-A,2017,NCC,Bloom,A,149,Crop Cover
alphaproteobacteria,2017-NCC-Bloom-B,2017,NCC,Bloom,B,130,Crop Cover
alphaproteobacteria,2017-NCC-Bloom-C,2017,NCC,Bloom,C,134,Crop Cover
alphaproteobacteria,2017-OF-Bloom-A,2017,OF,Bloom,A,143,Fertilizer
alphaproteobacteria,2017-OF-Bloom-B,2017,OF,Bloom,B,119,Fertilizer
alphaproteobacteria,2017-OF-Bloom-C,2017,OF,Bloom,C,81,Fertilizer
alphaproteobacteria,2017-SF-Bloom-A,2017,SF,Bloom,A,105,Fertilizer
alphaproteobacteria,2017-SF-Bloom-B,2017,SF,Bloom,B,111,Fertilizer
alphaproteobacteria,2017-SF-Bloom-C,2017,SF,Bloom,C,185,Fertilizer
alphaproteobacteria,2017-NF-Bloom-A,2017,NF,Bloom,A,133,Fertilizer
alphaproteobacteria,2017-NF-Bloom-B,2017,NF,Bloom,B,146,Fertilizer
alphaproteobacteria,2017-NF-Bloom-C,2017,NF,Bloom,C,191,Fertilizer
alphaproteobacteria,2017-H-Bloom-A,2017,H,Bloom,A,135,Herbicide
alphaproteobacteria,2017-H-Bloom-B,2017,H,Bloom,B,141,Herbicide
alphaproteobacteria,2017-H-Bloom-C,2017,H,Bloom,C,120,Herbicide
alphaproteobacteria,2017-NH-Bloom-A,2017,NH,Bloom,A,133,Herbicide
alphaproteobacteria,2017-NH-Bloom-B,2017,NH,Bloom,B,138,Herbicide
alphaproteobacteria,2017-NH-Bloom-C,2017,NH,Bloom,C,135,Herbicide
alphaproteobacteria,2017-HW-Veraison-A,2017,HW,Veraison,A,179,Crop Cover
alphaproteobacteria,2017-HW-Veraison-B,2017,HW,Veraison,B,156,Crop Cover
alphaproteobacteria,2017-HW-Veraison-C,2017,HW,Veraison,C,160,Crop Cover
alphaproteobacteria,2017-LW-Veraison-A,2017,LW,Veraison,A,243,Crop Cover
alphaproteobacteria,2017-LW-Veraison-B,2017,LW,Veraison,B,196,Crop Cover
alphaproteobacteria,2017-LW-Veraison-C,2017,LW,Veraison,C,150,Crop Cover
alphaproteobacteria,2017-NCC-Veraison-A,2017,NCC,Veraison,A,150,Crop Cover
alphaproteobacteria,2017-NCC-Veraison-B,2017,NCC,Veraison,B,161,Crop Cover
alphaproteobacteria,2017-NCC-Veraison-C,2017,NCC,Veraison,C,190,Crop Cover
alphaproteobacteria,2017-OF-Veraison-A,2017,OF,Veraison,A,212,Fertilizer
alphaproteobacteria,2017-OF-Veraison-B,2017,OF,Veraison,B,146,Fertilizer
alphaproteobacteria,2017-OF-Veraison-C,2017,OF,Veraison,C,129,Fertilizer
alphaproteobacteria,2017-SF-Veraison-A,2017,SF,Veraison,A,164,Fertilizer
alphaproteobacteria,2017-SF-Veraison-B,2017,SF,Veraison,B,125,Fertilizer
alphaproteobacteria,2017-SF-Veraison-C,2017,SF,Veraison,C,157,Fertilizer
alphaproteobacteria,2017-NF-Veraison-A,2017,NF,Veraison,A,149,Fertilizer
alphaproteobacteria,2017-NF-Veraison-B,2017,NF,Veraison,B,125,Fertilizer
alphaproteobacteria,2017-NF-Veraison-C,2017,NF,Veraison,C,129,Fertilizer
alphaproteobacteria,2017-H-Veraison-A,2017,H,Veraison,A,173,Herbicide
alphaproteobacteria,2017-H-Veraison-B,2017,H,Veraison,B,162,Herbicide
alphaproteobacteria,2017-H-Veraison-C,2017,H,Veraison,C,294,Herbicide
alphaproteobacteria,2017-NH-Veraison-A,2017,NH,Veraison,A,203,Herbicide
alphaproteobacteria,2017-NH-Veraison-B,2017,NH,Veraison,B,173,Herbicide
alphaproteobacteria,2017-NH-Veraison-C,2017,NH,Veraison,C,127,Herbicide
alphaproteobacteria,2017-HW-Harvest-A,2017,HW,Harvest,A,156,Crop Cover
alphaproteobacteria,2017-HW-Harvest-B,2017,HW,Harvest,B,147,Crop Cover
alphaproteobacteria,2017-HW-Harvest-C,2017,HW,Harvest,C,183,Crop Cover
alphaproteobacteria,2017-LW-Harvest-A,2017,LW,Harvest,A,151,Crop Cover
alphaproteobacteria,2017-LW-Harvest-B,2017,LW,Harvest,B,149,Crop Cover
alphaproteobacteria,2017-LW-Harvest-C,2017,LW,Harvest,C,223,Crop Cover
alphaproteobacteria,2017-NCC-Harvest-A,2017,NCC,Harvest,A,138,Crop Cover
alphaproteobacteria,2017-NCC-Harvest-B,2017,NCC,Harvest,B,133,Crop Cover
alphaproteobacteria,2017-NCC-Harvest-C,2017,NCC,Harvest,C,170,Crop Cover
alphaproteobacteria,2017-OF-Harvest-A,2017,OF,Harvest,A,154,Fertilizer
alphaproteobacteria,2017-OF-Harvest-B,2017,OF,Harvest,B,214,Fertilizer
alphaproteobacteria,2017-OF-Harvest-C,2017,OF,Harvest,C,160,Fertilizer
alphaproteobacteria,2017-SF-Harvest-A,2017,SF,Harvest,A,226,Fertilizer
alphaproteobacteria,2017-SF-Harvest-B,2017,SF,Harvest,B,172,Fertilizer
alphaproteobacteria,2017-SF-Harvest-C,2017,SF,Harvest,C,103,Fertilizer
alphaproteobacteria,2017-NF-Harvest-A,2017,NF,Harvest,A,272,Fertilizer
alphaproteobacteria,2017-NF-Harvest-B,2017,NF,Harvest,B,135,Fertilizer
alphaproteobacteria,2017-NF-Harvest-C,2017,NF,Harvest,C,136,Fertilizer
alphaproteobacteria,2017-H-Harvest-A,2017,H,Harvest,A,155,Herbicide
alphaproteobacteria,2017-H-Harvest-B,2017,H,Harvest,B,179,Herbicide
alphaproteobacteria,2017-H-Harvest-C,2017,H,Harvest,C,175,Herbicide
alphaproteobacteria,2017-NH-Harvest-A,2017,NH,Harvest,A,166,Herbicide
alphaproteobacteria,2017-NH-Harvest-B,2017,NH,Harvest,B,95,Herbicide
alphaproteobacteria,2017-NH-Harvest-C,2017,NH,Harvest,C,147,Herbicide
alphaproteobacteria,2018-H-Bud-A,2018,H,Bud,A,129,Herbicide
alphaproteobacteria,2018-H-Bud-B,2018,H,Bud,B,48,Herbicide
alphaproteobacteria,2018-H-Bud-C,2018,H,Bud,C,84,Herbicide
alphaproteobacteria,2018-H-Bloom-A,2018,H,Bloom,A,225,Herbicide
alphaproteobacteria,2018-H-Bloom-B,2018,H,Bloom,B,78,Herbicide
alphaproteobacteria,2018-H-Bloom-C,2018,H,Bloom,C,179,Herbicide
alphaproteobacteria,2018-H-Veraison-A,2018,H,Veraison,A,191,Herbicide
alphaproteobacteria,2018-H-Veraison-B,2018,H,Veraison,B,195,Herbicide
alphaproteobacteria,2018-H-Veraison-C,2018,H,Veraison,C,131,Herbicide
alphaproteobacteria,2018-H-Harvest-A,2018,H,Harvest,A,158,Herbicide
alphaproteobacteria,2018-H-Harvest-B,2018,H,Harvest,B,188,Herbicide
alphaproteobacteria,2018-H-Harvest-C,2018,H,Harvest,C,170,Herbicide
alphaproteobacteria,2018-NH-Bud-A,2018,NH,Bud,A,96,Herbicide
alphaproteobacteria,2018-NH-Bud-B,2018,NH,Bud,B,114,Herbicide
alphaproteobacteria,2018-NH-Bud-C,2018,NH,Bud,C,73,Herbicide
alphaproteobacteria,2018-NH-Bloom-A,2018,NH,Bloom,A,128,Herbicide
alphaproteobacteria,2018-NH-Bloom-C,2018,NH,Bloom,C,168,Herbicide
alphaproteobacteria,2018-NH-Veraison-A,2018,NH,Veraison,A,144,Herbicide
alphaproteobacteria,2018-NH-Veraison-B,2018,NH,Veraison,B,193,Herbicide
alphaproteobacteria,2018-NH-Veraison-C,2018,NH,Veraison,C,181,Herbicide
alphaproteobacteria,2018-NH-Harvest-A,2018,NH,Harvest,A,184,Herbicide
alphaproteobacteria,2018-NH-Harvest-B,2018,NH,Harvest,B,172,Herbicide
alphaproteobacteria,2018-SF-Bud-A,2018,SF,Bud,A,44,Fertilizer
alphaproteobacteria,2018-SF-Bud-B,2018,SF,Bud,B,170,Fertilizer
alphaproteobacteria,2018-SF-Bud-C,2018,SF,Bud,C,104,Fertilizer
alphaproteobacteria,2018-SF-Bloom-A,2018,SF,Bloom,A,150,Fertilizer
alphaproteobacteria,2018-SF-Bloom-C,2018,SF,Bloom,C,154,Fertilizer
alphaproteobacteria,2018-SF-Veraison-A,2018,SF,Veraison,A,300,Fertilizer
alphaproteobacteria,2018-SF-Veraison-B,2018,SF,Veraison,B,192,Fertilizer
alphaproteobacteria,2018-SF-Veraison-C,2018,SF,Veraison,C,193,Fertilizer
alphaproteobacteria,2018-SF-Harvest-A,2018,SF,Harvest,A,202,Fertilizer
alphaproteobacteria,2018-SF-Harvest-B,2018,SF,Harvest,B,186,Fertilizer
alphaproteobacteria,2018-OF-Bud-A,2018,OF,Bud,A,139,Fertilizer
alphaproteobacteria,2018-OF-Bud-B,2018,OF,Bud,B,92,Fertilizer
alphaproteobacteria,2018-OF-Bud-C,2018,OF,Bud,C,303,Fertilizer
alphaproteobacteria,2018-OF-Bloom-B,2018,OF,Bloom,B,164,Fertilizer
alphaproteobacteria,2018-OF-Bloom-C,2018,OF,Bloom,C,179,Fertilizer
alphaproteobacteria,2018-OF-Veraison-A,2018,OF,Veraison,A,175,Fertilizer
alphaproteobacteria,2018-OF-Veraison-B,2018,OF,Veraison,B,206,Fertilizer
alphaproteobacteria,2018-OF-Veraison-C,2018,OF,Veraison,C,175,Fertilizer
alphaproteobacteria,2018-OF-Harvest-A,2018,OF,Harvest,A,273,Fertilizer
alphaproteobacteria,2018-OF-Harvest-B,2018,OF,Harvest,B,161,Fertilizer
alphaproteobacteria,2018-OF-Harvest-C,2018,OF,Harvest,C,191,Fertilizer
alphaproteobacteria,2018-NF-Bud-A,2018,NF,Bud,A,67,Fertilizer
alphaproteobacteria,2018-NF-Bud-B,2018,NF,Bud,B,83,Fertilizer
alphaproteobacteria,2018-NF-Bud-C,2018,NF,Bud,C,87,Fertilizer
alphaproteobacteria,2018-NF-Bloom-A,2018,NF,Bloom,A,153,Fertilizer
alphaproteobacteria,2018-NF-Bloom-B,2018,NF,Bloom,B,105,Fertilizer
alphaproteobacteria,2018-NF-Bloom-C,2018,NF,Bloom,C,128,Fertilizer
alphaproteobacteria,2018-NF-Veraison-A,2018,NF,Veraison,A,210,Fertilizer
alphaproteobacteria,2018-NF-Veraison-B,2018,NF,Veraison,B,224,Fertilizer
alphaproteobacteria,2018-NF-Veraison-C,2018,NF,Veraison,C,272,Fertilizer
alphaproteobacteria,2018-NF-Harvest-A,2018,NF,Harvest,A,172,Fertilizer
alphaproteobacteria,2018-NF-Harvest-B,2018,NF,Harvest,B,178,Fertilizer
alphaproteobacteria,2018-NF-Harvest-C,2018,NF,Harvest,C,152,Fertilizer
alphaproteobacteria,2018-HW-Bud-A,2018,HW,Bud,A,75,Crop Cover
alphaproteobacteria,2018-HW-Bud-B,2018,HW,Bud,B,156,Crop Cover
alphaproteobacteria,2018-HW-Bud-C,2018,HW,Bud,C,64,Crop Cover
alphaproteobacteria,2018-HW-Bloom-A,2018,HW,Bloom,A,90,Crop Cover
alphaproteobacteria,2018-HW-Bloom-B,2018,HW,Bloom,B,168,Crop Cover
alphaproteobacteria,2018-HW-Bloom-C,2018,HW,Bloom,C,132,Crop Cover
alphaproteobacteria,2018-HW-Veraison-A,2018,HW,Veraison,A,216,Crop Cover
alphaproteobacteria,2018-HW-Veraison-B,2018,HW,Veraison,B,154,Crop Cover
alphaproteobacteria,2018-HW-Veraison-C,2018,HW,Veraison,C,68,Crop Cover
alphaproteobacteria,2018-HW-Harvest-A,2018,HW,Harvest,A,238,Crop Cover
alphaproteobacteria,2018-HW-Harvest-B,2018,HW,Harvest,B,175,Crop Cover
alphaproteobacteria,2018-HW-Harvest-C,2018,HW,Harvest,C,87,Crop Cover
alphaproteobacteria,2018-LW-Bud-A,2018,LW,Bud,A,51,Crop Cover
alphaproteobacteria,2018-LW-Bud-B,2018,LW,Bud,B,117,Crop Cover
alphaproteobacteria,2018-LW-Bud-C,2018,LW,Bud,C,82,Crop Cover
alphaproteobacteria,2018-LW-Bloom-A,2018,LW,Bloom,A,189,Crop Cover
alphaproteobacteria,2018-LW-Bloom-B,2018,LW,Bloom,B,130,Crop Cover
alphaproteobacteria,2018-LW-Bloom-C,2018,LW,Bloom,C,128,Crop Cover
alphaproteobacteria,2018-LW-Veraison-A,2018,LW,Veraison,A,141,Crop Cover
alphaproteobacteria,2018-LW-Veraison-B,2018,LW,Veraison,B,178,Crop Cover
alphaproteobacteria,2018-LW-Veraison-C,2018,LW,Veraison,C,172,Crop Cover
alphaproteobacteria,2018-LW-Harvest-A,2018,LW,Harvest,A,160,Crop Cover
alphaproteobacteria,2018-LW-Harvest-B,2018,LW,Harvest,B,141,Crop Cover
alphaproteobacteria,2018-LW-Harvest-C,2018,LW,Harvest,C,194,Crop Cover
alphaproteobacteria,2018-NCC-Bud-A,2018,NCC,Bud,A,39,Crop Cover
alphaproteobacteria,2018-NCC-Bud-B,2018,NCC,Bud,B,42,Crop Cover
alphaproteobacteria,2018-NCC-Bud-C,2018,NCC,Bud,C,74,Crop Cover
alphaproteobacteria,2018-NCC-Bloom-A,2018,NCC,Bloom,A,135,Crop Cover
alphaproteobacteria,2018-NCC-Bloom-B,2018,NCC,Bloom,B,120,Crop Cover
alphaproteobacteria,2018-NCC-Bloom-C,2018,NCC,Bloom,C,95,Crop Cover
alphaproteobacteria,2018-NCC-Veraison-A,2018,NCC,Veraison,A,208,Crop Cover
alphaproteobacteria,2018-NCC-Veraison-B,2018,NCC,Veraison,B,164,Crop Cover
alphaproteobacteria,2018-NCC-Veraison-C,2018,NCC,Veraison,C,142,Crop Cover
alphaproteobacteria,2018-NCC-Harvest-A,2018,NCC,Harvest,A,160,Crop Cover
alphaproteobacteria,2018-NCC-Harvest-B,2018,NCC,Harvest,B,109,Crop Cover
actinomycetia,2018-NH-Bloom-B,2018,NH,Bloom,B,0,Herbicide
actinomycetia,2018-NH-Harvest-C,2018,NH,Harvest,C,1,Herbicide
actinomycetia,2018-SF-Bloom-B,2018,SF,Bloom,B,7,Fertilizer
actinomycetia,2018-SF-Harvest-C,2018,SF,Harvest,C,0,Fertilizer
actinomycetia,2018-OF-Bloom-A,2018,OF,Bloom,A,0,Fertilizer
actinomycetia,2016-H-Bud-A,2016,H,Bud,A,0,Herbicide
actinomycetia,2016-H-Bud-B,2016,H,Bud,B,0,Herbicide
actinomycetia,2016-H-Bud-C,2016,H,Bud,C,1,Herbicide
actinomycetia,2016-H-Bloom-A,2016,H,Bloom,A,0,Herbicide
actinomycetia,2016-H-Bloom-B,2016,H,Bloom,B,0,Herbicide
actinomycetia,2016-H-Bloom-C,2016,H,Bloom,C,0,Herbicide
actinomycetia,2016-H-Veraison-A,2016,H,Veraison,A,0,Herbicide
actinomycetia,2016-H-Veraison-B,2016,H,Veraison,B,0,Herbicide
actinomycetia,2016-H-Veraison-C,2016,H,Veraison,C,0,Herbicide
actinomycetia,2016-H-Harvest-A,2016,H,Harvest,A,0,Herbicide
actinomycetia,2016-H-Harvest-B,2016,H,Harvest,B,0,Herbicide
actinomycetia,2016-H-Harvest-C,2016,H,Harvest,C,0,Herbicide
actinomycetia,2016-HW-Bud-A,2016,HW,Bud,A,0,Crop Cover
actinomycetia,2016-HW-Bud-B,2016,HW,Bud,B,0,Crop Cover
actinomycetia,2016-HW-Bud-C,2016,HW,Bud,C,0,Crop Cover
actinomycetia,2016-HW-Bloom-A,2016,HW,Bloom,A,0,Crop Cover
actinomycetia,2016-HW-Bloom-B,2016,HW,Bloom,B,0,Crop Cover
actinomycetia,2016-HW-Bloom-C,2016,HW,Bloom,C,0,Crop Cover
actinomycetia,2016-HW-Veraison-A,2016,HW,Veraison,A,0,Crop Cover
actinomycetia,2016-HW-Veraison-B,2016,HW,Veraison,B,0,Crop Cover
actinomycetia,2016-HW-Veraison-C,2016,HW,Veraison,C,0,Crop Cover
actinomycetia,2016-HW-Harvest-A,2016,HW,Harvest,A,0,Crop Cover
actinomycetia,2016-HW-Harvest-B,2016,HW,Harvest,B,0,Crop Cover
actinomycetia,2016-HW-Harvest-C,2016,HW,Harvest,C,0,Crop Cover
actinomycetia,2016-LW-Bud-A,2016,LW,Bud,A,0,Crop Cover
actinomycetia,2016-LW-Bud-B,2016,LW,Bud,B,0,Crop Cover
